iter	Logloss
363	0.3046451038
364	0.3041442998
365	0.3036453987
366	0.3030967208
367	0.3026099858
368	0.3022666612
369	0.3022655887
370	0.3017543751
371	0.3012799979
372	0.3010061532
373	0.3007294235
374	0.3003741891
375	0.3000771826
376	0.2997658239
377	0.2990833683
378	0.2986868855
379	0.298676217
380	0.2982202008
381	0.2980199644
382	0.2977007201
383	0.2972230729
384	0.2969546561
385	0.2965530072
386	0.296188207
387	0.2956755807
388	0.2953927751
389	0.2953237449
390	0.2950631108
391	0.2946314984
392	0.2943124931
393	0.2939972563
394	0.293643519
395	0.2932371673
396	0.292891634
397	0.2925557205
398	0.2920762571
399	0.2916363778
400	0.2915304979
401	0.2915124506
402	0.2912015096
403	0.2906844008
404	0.2905807514
405	0.290201591
406	0.2898604623
407	0.2895589988
408	0.2890047911
409	0.2886266848
410	0.2886092237
411	0.2881442599
412	0.2880838334
413	0.2877129138
414	0.287346566
415	0.2871159453
416	0.2867241502
417	0.2867053473
418	0.2864714392
419	0.2862544764
420	0.2857813541
421	0.2853239859
422	0.2849113305
423	0.2848002948
424	0.2843432561
425	0.2843209964
426	0.2843203245
427	0.2838229575
428	0.283454358
429	0.283443652
430	0.2830703459
431	0.2828662685
432	0.2825721336
433	0.2820879061
434	0.2817973157
435	0.281386088
436	0.2813762819
437	0.2810540555
438	0.2806927842
439	0.2802252344
440	0.2800127113
441	0.2795432063
442	0.2795323741
443	0.2794111853
444	0.2790378996
445	0.2785974098
446	0.2782324521
447	0.2782299531
448	0.2778702105
449	0.2774596208
450	0.2774365838
451	0.2774010984
452	0.2770535241
453	0.2766483132
454	0.2763218717
455	0.2758789808
456	0.2756117249
457	0.2753399354
458	0.2752974609
459	0.2752774426
460	0.2749133296
461	0.2749127928
462	0.2748351121
463	0.2748209394
464	0.2745248114
465	0.2743504168
466	0.2738888008
467	0.2738856154
468	0.2735756188
469	0.2732343159
470	0.2729182927
471	0.2726312426
472	0.2723458016
473	0.2723365148
474	0.2720371426
475	0.271852162
476	0.2715656826
477	0.271541536
478	0.2712196046
479	0.2708082002
480	0.2704857117
481	0.2700895689
482	0.2697426347
483	0.2694296502
484	0.2691306334
485	0.2689397471
486	0.2685116001
487	0.268161597
488	0.2676808739
489	0.2673392299
490	0.2669470259
491	0.2667024418
492	0.2663354338
493	0.2662272157
494	0.2662202813
495	0.2660385592
496	0.2660122741
497	0.2658121301
498	0.2655147909
499	0.2652315246
