Survey.sheet;Clove.benefit.score;Region;Gender;Age;edu.level;Ethnic.group;Migration.Experience;Farms.Cloves;encountered.binary;ID.vis.Aye;ID.nom;Knowledge.non.benefit.score.max.6;DK.score;Diet.Insects;Knowledge.signs;Remoteness;village.size;Farms.Paddy.Rice;Farms.Tavy.Rice;Extracts.Medical.plants;ID.vis.Indri;ID.vis.Microcebus;Aye.aye.protected
59;0;1;0;21-30;Primary;1;0;1;0;0;0;1;6;0;0;4;4;1;0;1;1;0;1
60;1;1;0;21-30;None;1;0;1;0;0;0;1;8;0;0;4;4;1;0;1;1;0;-1
61;0;1;1;31-40;Secondary;1;0;1;1;1;1;5;0;1;1;4;4;1;0;0;0;1;1
62;1;1;1;61-70;Primary;1;0;1;1;0;1;4;0;0;0;4;4;1;0;1;1;1;1
63;1;1;1;21-30;Secondary;1;1;1;0;0;1;3;0;1;0;4;2;1;1;1;1;0;1
64;1;1;1;41-50;Primary;2;0;1;0;0;0;3;6;0;0;4;2;1;1;1;1;1;0
65;1;1;1;21-30;High;1;1;0;0;0;0;4;0;0;1;4;2;1;0;1;0;1;1
66;0;1;0;41-50;None;1;0;1;0;0;0;4;1;0;0;4;2;1;0;0;1;0;1
67;1;1;1;41-50;None;1;0;1;0;1;0;4;2;1;0;4;2;1;1;0;1;1;1
68;1;1;1;21-30;Secondary;1;0;1;0;1;0;5;1;0;0;4;2;1;1;1;1;0;1
69;0;1;1;14-20;Secondary;2;0;1;0;0;0;2;7;0;0;4;2;1;1;1;0;1;0
70;1;1;1;21-30;High;1;0;1;1;1;1;6;2;1;0;4;2;1;0;1;1;1;1
71;1;1;1;21-30;Primary;2;0;1;1;0;1;3;0;1;1;4;2;1;1;1;0;1;1
72;1;1;1;51-60;None;2;0;1;1;1;1;3;0;1;1;4;2;1;0;1;1;1;1
73;0;1;0;21-30;Primary;2;0;1;0;0;1;2;5;0;0;4;2;1;1;1;1;0;1
74;1;1;0;21-30;None;1;1;1;0;0;0;1;6;0;0;4;2;1;1;1;1;0;1
75;1;1;1;14-20;Secondary;1;0;1;1;1;1;3;0;1;0;4;2;1;1;1;0;1;1
76;1;1;1;21-30;None;1;0;1;0;0;0;1;10;0;0;4;2;1;1;1;1;0;0
77;1;1;1;51-60;Primary;2;0;1;1;1;1;6;0;1;1;4;2;1;0;1;1;1;1
78;1;1;0;31-40;None;1;0;1;0;0;1;1;4;0;0;4;2;1;0;1;1;0;1
79;1;1;0;21-30;Primary;1;0;1;0;0;0;0;7;0;0;4;2;1;1;0;0;0;1
80;1;1;1;14-20;Primary;1;0;1;0;0;0;2;0;1;1;4;2;1;1;1;1;0;1
81;1;1;1;14-20;Primary;1;0;1;0;0;1;3;0;1;1;4;2;1;1;1;0;0;1
82;1;1;1;21-30;Secondary;1;1;1;1;0;1;4;1;0;0;4;2;1;1;1;0;1;1
83;1;1;1;41-50;Primary;1;0;1;1;1;1;4;2;1;0;3;4;1;0;1;1;0;1
