Survey.sheet;Clove.benefit.score;Region;Gender;Age;edu.level;Ethnic.group;Migration.Experience;Farms.Cloves;encountered.binary;ID.vis.Aye;ID.nom;Knowledge.non.benefit.score.max.6;DK.score;Diet.Insects;Knowledge.signs;Remoteness;village.size;Farms.Paddy.Rice;Farms.Tavy.Rice;Extracts.Medical.plants;ID.vis.Indri;ID.vis.Microcebus;Aye.aye.protected
244;0;2;1;21-30;Primary;1;0;1;0;0;1;4;5;0;0;4;3;0;1;0;1;0;1
245;0;2;1;14-20;Primary;1;0;1;0;0;1;0;3;0;1;4;3;0;1;1;1;1;-1
246;0;2;1;61-70;None;1;0;1;0;0;1;1;10;0;0;4;3;0;1;1;0;0;1
247;0;2;1;61-70;None;1;0;1;1;0;1;4;0;1;0;4;3;0;1;1;1;0;1
248;0;2;1;31-40;Primary;1;0;1;0;0;0;2;7;0;0;4;3;0;1;0;1;0;1
249;1;2;1;21-30;Secondary;1;0;1;0;1;1;4;1;0;0;4;3;0;1;0;1;1;1
250;0;2;1;31-40;None;1;0;1;1;0;1;5;3;1;0;4;3;0;1;0;1;1;1
251;1;2;1;31-40;None;1;0;1;1;1;1;4;0;1;1;4;3;0;1;0;1;1;1
252;1;2;1;31-40;Primary;1;0;1;0;0;0;1;5;0;1;4;3;0;1;1;1;0;1
253;1;2;1;21-30;Primary;1;0;1;0;0;1;4;1;0;1;4;3;0;1;0;0;0;1
254;0;2;1;31-40;Primary;1;0;1;0;0;0;0;13;0;0;4;3;0;1;0;0;0;0
255;0;2;0;21-30;Primary;1;0;1;0;0;0;3;5;0;0;4;3;1;0;0;0;0;1
256;0;2;1;14-20;Secondary;1;0;1;0;0;1;4;0;0;1;4;3;1;1;0;1;0;1
257;1;2;1;31-40;Primary;1;0;1;1;1;1;6;0;1;1;4;3;0;1;1;1;0;1
258;0;2;1;41-50;Secondary;1;1;1;0;0;0;2;7;0;0;4;3;0;1;0;1;0;1
259;0;2;1;14-20;Primary;1;1;1;0;0;1;6;0;1;1;4;3;1;1;0;0;0;1
260;1;2;1;31-40;Primary;1;1;0;0;0;1;3;6;1;0;4;3;0;1;0;1;0;1
261;0;2;0;14-20;Primary;1;0;1;0;0;0;0;14;0;0;4;3;0;1;0;0;0;0
262;0;2;0;31-40;None;1;0;1;0;0;1;0;14;0;0;4;3;0;1;1;1;0;0
263;0;2;0;31-40;None;1;0;1;0;0;0;0;14;0;0;4;3;0;1;1;0;0;0
264;0;2;1;41-50;None;2;1;0;0;0;0;0;13;0;0;4;3;1;0;0;0;0;0
265;0;2;0;21-30;Primary;1;0;1;0;0;1;4;2;1;1;4;3;1;1;1;1;1;1
266;0;2;1;31-40;Secondary;2;1;1;0;0;1;6;1;1;0;4;3;0;1;0;0;1;1
267;0;2;1;51-60;None;1;0;1;0;0;1;1;12;0;0;4;3;1;1;1;0;1;0
268;0;2;1;21-30;Secondary;1;0;1;0;0;1;4;1;0;1;4;3;1;1;1;1;0;1
269;0;2;0;31-40;Secondary;1;0;1;0;0;1;1;10;0;0;4;3;1;0;1;1;0;0
270;0;2;1;31-40;Primary;1;0;0;0;0;0;0;14;0;0;4;3;1;0;0;0;0;0
271;0;2;1;31-40;Primary;1;0;1;0;0;1;4;7;0;0;4;3;0;1;0;1;0;1
272;0;3;1;41-50;None;1;0;1;1;0;1;4;1;1;0;3;2;0;1;0;1;0;1
273;0;3;0;14-20;Secondary;1;1;0;0;0;1;0;9;0;0;3;2;0;1;0;0;0;-1
274;0;3;0;51-60;None;1;0;1;0;0;0;0;11;0;0;3;2;1;0;0;0;0;0
275;0;3;0;21-30;Primary;1;1;1;0;0;1;3;4;0;0;3;2;1;0;0;1;0;1
276;1;3;0;21-30;Primary;1;1;1;0;0;1;2;3;0;0;3;2;1;0;0;1;0;1
277;0;3;1;31-40;None;1;0;1;1;0;1;1;2;0;0;3;2;0;1;0;1;1;1
278;0;3;0;41-50;None;1;1;1;0;0;1;4;4;1;0;3;2;1;1;0;1;0;1
279;0;3;0;31-40;None;3;0;1;0;0;1;3;7;0;0;3;2;0;1;1;0;0;1
280;1;3;1;31-40;None;1;0;1;0;0;1;2;7;0;0;3;2;0;1;1;1;1;-1
281;0;3;1;21-30;Secondary;1;1;0;0;0;1;0;7;0;1;3;2;1;0;0;0;0;1
282;0;3;0;21-30;Primary;1;1;1;0;0;1;3;9;0;0;3;2;0;1;0;0;0;1
283;1;3;1;14-20;Primary;1;0;1;0;0;1;4;0;0;0;3;2;0;1;0;0;0;1
284;1;3;1;21-30;Primary;1;0;1;0;0;0;2;2;0;0;3;2;0;1;1;0;1;1
285;0;3;1;21-30;Primary;1;0;1;0;0;1;4;2;0;0;3;2;0;1;0;1;1;1
286;0;3;1;51-60;None;3;0;1;0;0;1;3;4;0;0;3;2;1;0;0;0;0;1
287;0;3;1;21-30;Primary;2;0;1;0;0;1;3;4;0;1;3;2;0;1;0;1;0;1
288;1;3;1;31-40;None;1;0;1;0;0;1;1;9;0;0;3;2;0;1;0;0;1;1
289;1;3;1;31-40;Primary;1;0;1;0;0;1;5;0;1;0;3;2;0;1;0;1;0;1
290;0;3;1;61-70;Primary;1;0;1;0;0;1;2;11;0;0;3;2;1;1;0;1;0;0
291;0;3;1;21-30;Primary;1;0;1;0;1;1;1;9;0;0;3;2;0;1;0;1;1;1
292;1;3;1;41-50;Secondary;1;0;1;1;1;1;5;2;0;0;3;3;0;1;0;1;1;1
293;1;3;1;31-40;Primary;1;0;1;1;0;1;5;1;1;0;3;3;0;1;1;1;1;1
294;0;3;1;>70;None;1;0;1;0;0;1;4;3;0;0;3;3;0;1;1;0;0;1
295;0;3;1;51-60;Primary;1;1;1;0;0;1;0;11;0;0;3;3;1;0;0;0;0;1
296;0;3;0;21-30;Secondary;1;0;1;0;0;1;3;3;0;0;3;3;0;1;0;0;0;1
297;1;3;1;21-30;High;1;0;1;1;0;1;6;0;1;1;3;3;1;1;0;0;0;1
298;0;3;1;41-50;Primary;1;0;1;0;0;1;3;4;0;0;3;3;0;1;1;0;0;1
299;0;3;0;21-30;Primary;1;1;1;0;0;1;0;11;0;0;3;3;0;1;0;0;0;0
300;0;3;0;31-40;None;1;0;1;0;0;1;4;6;0;0;3;3;1;0;0;1;0;1
301;0;3;0;14-20;Primary;1;0;1;0;0;1;2;7;0;0;3;3;0;0;0;1;0;0
302;0;3;0;31-40;None;1;0;1;0;0;0;0;13;0;0;3;3;1;0;0;0;0;0
303;1;3;1;14-20;Primary;1;0;1;0;0;1;2;9;0;0;3;3;0;1;0;1;1;1
304;0;3;1;31-40;Secondary;1;0;1;0;0;1;5;1;1;0;3;3;0;1;1;1;1;1
305;0;3;0;21-30;Primary;1;0;1;0;0;1;3;3;1;1;3;3;1;1;0;0;0;1
306;0;3;0;21-30;None;1;1;1;0;1;1;2;7;0;0;3;3;0;1;0;0;1;1
307;1;3;1;21-30;Primary;1;0;1;1;0;1;4;0;0;0;3;3;1;0;0;0;1;1
308;1;3;1;31-40;Primary;1;0;1;0;1;1;4;1;1;1;3;3;0;1;0;0;1;1
309;1;3;0;51-60;Primary;1;1;1;1;1;1;4;2;1;1;3;3;0;1;0;1;1;1
310;0;3;0;21-30;None;1;1;1;0;0;1;2;8;0;0;3;3;0;0;0;0;0;1
311;0;3;0;21-30;High;1;1;1;0;0;1;3;4;0;0;3;3;1;1;0;0;0;1
312;1;3;1;41-50;None;1;0;1;0;0;1;4;0;1;0;3;4;1;0;0;1;1;1
313;1;3;1;31-40;Secondary;1;1;1;0;0;1;4;0;1;1;3;4;1;0;0;1;1;1
314;0;3;1;21-30;Primary;1;0;1;0;0;1;0;6;0;0;3;4;0;1;0;1;1;1
315;0;3;0;31-40;None;1;0;1;0;0;1;3;6;0;0;3;4;1;0;0;0;0;0
316;0;3;0;41-50;Primary;1;1;1;0;0;1;3;5;0;0;3;4;0;1;0;0;1;1
317;0;3;0;21-30;High;1;1;1;0;0;0;2;5;0;0;3;4;0;0;0;1;0;1
318;0;3;0;51-60;Primary;1;0;1;0;0;1;1;10;0;0;3;4;0;1;0;1;1;0
319;0;3;1;21-30;Primary;1;0;1;0;0;1;3;6;0;0;3;4;0;1;0;1;1;1
320;0;3;1;51-60;None;1;0;1;0;0;1;4;4;0;0;3;4;1;1;0;1;1;1
321;0;3;1;21-30;Secondary;1;1;1;0;0;1;3;1;0;0;3;4;0;0;0;1;1;1
322;1;3;0;14-20;Primary;1;0;0;0;0;1;2;1;0;1;3;4;1;1;0;0;0;-1
323;1;3;1;>70;None;1;0;1;1;0;1;4;2;0;0;3;4;0;1;0;1;0;1
324;0;3;0;41-50;None;2;0;1;0;0;1;2;5;0;0;3;4;1;1;0;1;0;1
325;1;3;1;41-50;Primary;1;0;1;1;1;1;6;1;1;0;3;4;1;0;0;1;0;1
326;0;3;1;31-40;Primary;1;0;1;0;0;1;3;8;0;0;3;4;1;0;0;1;0;1
327;1;3;1;21-30;Primary;1;1;1;0;0;1;4;2;1;0;3;4;1;1;0;1;0;1
328;0;3;1;14-20;Secondary;1;0;1;0;0;1;4;2;0;1;3;4;1;1;0;0;1;1
329;0;3;1;14-20;Secondary;1;0;0;1;1;1;3;1;1;1;3;4;0;1;0;0;0;1
330;1;3;1;21-30;Primary;1;1;1;1;1;1;4;0;1;1;3;4;0;1;0;0;1;1
331;1;3;1;21-30;High;1;0;1;0;0;1;0;7;0;0;3;4;0;0;0;0;0;1
332;0;3;1;21-30;None;1;0;1;0;0;1;3;4;1;0;3;2;0;1;0;0;0;1
333;0;3;1;41-50;Primary;1;0;1;1;1;1;3;2;0;0;3;2;0;1;0;0;0;1
334;0;3;1;51-60;Primary;1;0;1;0;0;1;1;9;0;0;3;2;0;1;0;0;0;1
335;0;3;0;14-20;Secondary;1;0;1;0;0;0;0;14;0;0;3;2;0;1;0;0;0;0
336;1;3;1;21-30;Primary;1;0;1;0;0;1;6;0;1;1;3;2;0;1;0;0;1;1
337;0;3;1;21-30;Secondary;1;0;1;0;0;1;4;0;1;1;3;2;0;1;0;0;1;1
338;0;3;1;21-30;Secondary;1;0;1;1;0;1;5;1;1;1;3;2;0;1;0;1;1;1
339;1;3;1;21-30;High;1;0;1;0;1;1;6;1;1;1;3;2;0;1;0;0;1;1
340;1;3;1;14-20;Primary;1;1;1;0;0;1;5;5;1;0;3;2;0;1;0;0;1;0
341;0;3;1;21-30;Primary;1;0;1;0;0;1;2;3;0;1;3;2;1;1;0;0;0;0
342;0;3;1;14-20;Secondary;1;0;1;0;0;1;2;2;0;1;3;2;1;1;0;0;1;-1
343;1;3;1;>70;Primary;1;1;1;0;1;1;5;2;1;1;3;2;1;0;0;1;1;1
344;1;3;0;21-30;Secondary;1;1;1;0;0;1;3;1;1;0;3;2;0;1;0;0;0;1
345;0;3;0;14-20;Secondary;1;1;1;0;0;1;0;14;0;0;3;2;0;1;0;0;0;0
346;0;3;0;21-30;Primary;1;0;1;0;0;1;0;12;0;0;3;2;0;1;0;0;0;0
347;0;3;0;21-30;Primary;1;0;1;0;0;0;2;8;0;0;3;2;1;1;1;0;0;0
348;0;3;1;21-30;Primary;1;0;1;1;1;1;2;6;0;0;3;2;0;1;0;1;1;0
349;0;3;0;21-30;None;1;0;1;0;0;0;0;14;0;0;3;2;1;1;0;0;0;0
350;0;3;1;>70;None;1;0;1;1;0;1;4;8;0;0;3;2;0;1;0;0;0;0
351;0;3;1;21-30;Primary;1;0;1;0;0;1;0;14;0;0;3;2;1;0;0;0;0;0
352;1;3;1;31-40;Primary;1;0;1;0;1;1;5;1;1;1;3;4;0;0;0;0;0;1
353;0;3;0;31-40;None;1;0;0;0;0;0;0;13;0;0;2;4;0;0;0;0;0;0
354;1;3;1;21-30;None;1;0;1;0;0;1;4;1;1;0;2;4;1;0;0;0;1;1
355;0;3;0;14-20;Secondary;2;0;1;0;0;1;3;6;0;0;2;4;0;1;0;1;0;1
356;1;3;0;21-30;Primary;1;1;1;0;1;1;4;2;1;1;2;4;0;0;0;0;1;1
357;1;3;1;21-30;Secondary;1;0;1;0;0;1;3;3;1;1;2;4;1;0;0;0;0;1
358;1;3;1;51-60;Primary;1;0;1;0;0;1;5;4;0;0;2;4;0;1;0;1;0;1
359;0;3;0;41-50;Primary;1;1;1;0;0;1;1;12;0;0;2;4;1;1;0;1;0;0
360;0;3;1;21-30;Primary;1;1;1;0;0;1;3;3;0;0;2;4;0;1;0;1;1;-1
361;0;3;0;21-30;Primary;1;0;1;0;0;1;3;5;0;1;2;4;0;1;0;1;0;1
362;1;3;1;41-50;Primary;1;1;1;0;0;1;4;9;1;0;2;4;1;0;1;0;1;0
363;0;3;0;31-40;Primary;1;1;1;1;1;1;4;1;0;0;2;4;0;1;0;1;0;1
364;0;3;1;14-20;Secondary;3;0;1;0;0;0;0;10;0;0;2;4;1;1;0;0;0;0
365;1;3;1;21-30;High;1;0;1;0;1;1;4;1;1;1;2;4;0;1;0;1;0;1
366;0;3;0;41-50;Primary;1;0;1;0;0;1;1;9;0;0;2;4;0;1;0;1;0;1
367;1;3;1;51-60;High;1;1;1;0;1;1;4;2;1;0;2;4;0;1;1;1;1;1
368;1;3;1;21-30;Primary;1;0;1;0;0;1;2;2;0;0;2;4;0;1;0;1;1;1
369;0;3;0;14-20;Primary;1;0;1;0;0;1;2;9;0;0;2;4;0;0;0;0;0;1
370;1;3;1;14-20;High;1;0;1;0;0;1;1;4;0;1;2;4;0;1;0;0;0;1
371;0;3;1;14-20;Primary;1;0;1;0;0;1;4;0;0;0;2;4;0;1;0;0;0;1
372;0;3;0;21-30;None;1;1;1;0;0;1;2;5;0;0;2;4;0;1;0;0;0;1
373;0;3;1;21-30;Secondary;1;1;1;1;0;1;5;3;1;0;2;2;0;1;0;1;0;1
374;0;3;0;41-50;None;1;1;1;0;0;0;0;13;0;0;2;2;0;1;0;0;0;0
375;0;3;0;14-20;None;1;0;1;0;0;1;0;8;0;0;2;2;1;1;0;0;0;0
376;1;3;0;51-60;None;2;0;1;0;0;1;0;11;0;0;2;2;0;1;1;0;0;1
377;0;3;1;21-30;Primary;1;0;1;0;0;1;3;0;0;0;2;2;1;1;0;1;1;1
378;0;3;1;21-30;Primary;1;0;1;1;0;1;1;2;0;0;2;2;1;0;0;0;1;1
379;0;3;0;31-40;None;1;1;1;0;0;0;0;14;0;0;2;2;1;1;0;0;0;0
380;0;3;1;21-30;Primary;3;0;1;0;0;1;2;6;0;0;2;2;0;1;0;0;1;-1
381;1;3;1;21-30;Primary;1;1;1;0;1;1;3;0;0;0;2;2;0;1;0;1;1;1
382;1;3;1;14-20;Primary;1;1;1;0;1;1;3;2;1;1;2;2;0;1;0;1;0;1
383;0;3;0;51-60;None;1;0;1;0;0;1;3;6;1;0;2;2;1;0;1;0;1;1
384;1;3;1;31-40;Primary;1;0;1;0;1;1;4;2;1;0;2;2;0;0;0;1;1;1
385;0;3;1;51-60;Primary;1;0;1;0;0;1;3;6;0;0;2;2;1;0;1;1;0;1
386;1;3;0;51-60;None;1;0;1;0;0;1;5;3;1;1;2;2;0;1;0;0;0;1
387;0;3;0;61-70;None;2;0;1;0;0;1;0;14;0;0;2;2;0;1;0;0;0;0
388;1;3;1;31-40;None;1;1;1;0;1;1;3;2;0;1;2;2;0;1;0;0;1;1
389;0;3;1;14-20;Primary;1;0;1;0;0;1;3;2;0;1;2;2;0;1;0;1;0;1
390;1;3;1;31-40;Primary;2;0;1;0;0;1;2;0;1;0;2;2;0;1;0;1;0;1
391;1;3;1;51-60;None;1;0;1;0;0;1;4;3;0;0;2;2;0;1;0;0;1;1
392;1;3;1;14-20;Primary;1;0;1;0;0;1;0;9;0;0;2;2;0;1;0;0;1;1
