Survey.sheet;Clove.benefit.score;Region;Village;Gender;Age;schooling.years;Ethnic.group;Migration.Experience;Farms.Cloves;nr.month.low.supply;encountered.binary;ID.vis.Aye-aye;ID.nom;Knowledge.non.benefit.score.max.6;DK.score;Diet.Insects;Knowledge.signs;Remoteness;village.size;School;Forest.cover2018;Forest.cover1990;Forestloss_total;Forestloss_relative;Farms.Paddy.Rice;Farms.Tavy.Rice;Extracts.Medical.plants;FES.provisioning;FES.regulating;FES.cultural;FES.supporting;ID.vis.Indri;ID.vis.Microcebus;Aye.aye.protected
1;1;0;0;1;51;0;1;0;1;8;0;0;0;4;2;1;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;1;0;1;0;0;1;1;1
2;1;0;0;1;52;10;1;0;1;6;0;1;1;5;0;1;1;1;4;1;0,4;16,3;15,9;97,54601227;1;0;1;0;1;0;0;1;1;1
3;1;0;0;1;50;2;1;0;1;3;0;0;0;3;1;0;0;1;4;1;0,4;16,3;15,9;97,54601227;1;1;1;1;0;0;0;1;1;1
4;1;0;0;1;58;9;1;0;1;5;1;1;1;6;0;1;0;1;4;1;0,4;16,3;15,9;97,54601227;1;1;0;1;1;0;0;1;1;1
5;0;0;0;0;52;5;1;0;0;1;0;1;1;3;3;0;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;1;1;0;0;0;1;1;1
6;0;0;0;0;50;5;1;0;1;2;0;0;0;3;2;1;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;0;1;0;0;0;0;1;1
7;1;0;0;1;53;5;1;0;1;7;0;0;1;4;2;1;0;1;4;1;0,4;16,3;15,9;97,54601227;1;1;1;0;1;0;0;0;1;1
8;1;0;0;1;22;0;1;0;1;3;0;0;0;3;2;0;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;0;1;0;0;0;1;1;1
9;0;0;0;1;41;4;1;0;1;8;0;0;0;4;2;1;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;1;1;1;0;0;0;0;1
10;0;0;0;1;18;10;1;0;0;2;0;0;0;5;2;0;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;1;0;1;0;0;0;0;0
11;0;1;1;1;33;0;1;1;1;3;1;1;1;4;1;1;1;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;1;0;0;1;1;1
12;0;1;1;0;28;6;3;1;1;2;0;0;0;0;10;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;0;0;1;0;0;0;1;1
13;1;1;1;1;23;8;1;0;1;5;0;1;1;3;1;1;1;5;2;1;57,9;88,13;30,23;34,30159991;1;0;0;0;1;0;0;1;1;1
14;1;1;1;1;30;0;1;0;1;3;0;0;1;4;4;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;1;1;1;0;0;0;1;0;1
15;0;1;1;0;27;5;2;0;1;2;0;0;1;1;3;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;1;1;1;0;0;0;1;0;1
16;1;1;1;1;35;11;1;0;1;2;1;1;1;3;0;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;0;0;1;1;0;1;1;1
17;0;1;1;0;23;10;2;0;1;4;0;0;0;4;0;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;1;0;0;1;0;1
18;0;1;1;1;80;0;1;0;1;2;0;0;1;2;7;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;0;1;0;0;1;0;0
19;0;1;1;0;30;1;2;0;1;NA;0;0;0;1;9;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;0;0;0;1;0;0
20;0;1;1;1;20;5;1;0;1;2;0;0;0;2;10;0;0;5;2;1;57,9;88,13;30,23;34,30159991;0;0;1;1;1;0;0;1;1;0
21;1;1;1;1;51;4;1;0;1;6;0;0;0;3;7;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;1;1;0;1;1;0;1;0;1
22;0;1;1;0;32;9;1;0;1;6;0;0;0;3;3;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;0;1;1;0;0;1;0;-1
23;1;1;1;0;45;0;1;0;1;2;0;0;0;4;4;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;0;1;0;0;1;0;1
24;1;1;1;1;32;3;1;0;1;2;0;1;1;5;1;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;1;0;0;1;1;1
25;0;1;1;0;24;0;1;0;1;3;0;0;0;1;7;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;0;1;0;0;1;0;1
26;1;1;1;1;26;9;1;0;1;5;0;0;1;5;1;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;0;0;0;1;1;1
27;1;1;1;1;30;4;1;0;1;5;1;1;1;3;3;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;0;1;0;0;1;1;1
28;1;1;1;1;66;0;1;0;1;2;1;0;1;4;2;1;1;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;1;0;0;1;0;1
29;0;1;1;1;28;6;1;1;0;8;0;0;0;2;3;0;0;5;2;1;57,9;88,13;30,23;34,30159991;0;0;0;0;1;0;1;1;1;1
30;1;1;1;1;30;1;1;0;1;3;0;0;0;4;2;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;1;1;1;0;0;0;1;1;1
31;1;1;2;1;56;3;1;1;1;3;0;1;1;3;3;1;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;1;0;0;0;1;1;-1
32;1;1;2;1;57;0;2;0;1;5;0;0;1;1;5;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;1;1;0;1;0;1;1;0;1
33;1;1;2;1;48;5;2;0;1;2;0;0;1;4;1;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;1;1;0;0;1;0;1
34;0;1;2;0;44;3;1;1;1;3;0;0;0;0;8;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;0;1;0;0;0;0;-1
35;0;1;2;0;32;4;2;0;1;6;0;0;1;2;5;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;1;1;1;1;0;0;1;0;-1
36;0;1;2;1;44;0;1;0;1;4;0;0;0;3;3;1;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;0;1;0;0;1;0;1
37;0;1;2;0;25;9;3;0;1;8;0;0;0;0;14;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;0;0;1;0;0;0;1;0
38;1;1;2;1;80;0;1;0;1;3;0;0;0;0;5;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;0;1;0;0;0;0;0
39;0;1;2;0;20;5;1;1;1;7;0;0;1;4;7;1;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;1;1;0;1;1;0;1
40;0;1;2;1;15;2;3;0;1;1;0;0;0;2;9;1;0;5;1;0;55,8;85,328;29,528;34,60528783;1;1;1;1;0;0;0;1;0;0
41;1;1;2;1;17;5;1;0;1;4;0;1;1;1;3;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;0;1;0;0;0;1;0;0
42;0;1;2;0;45;1;2;1;1;4;0;0;0;4;4;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;0;1;0;0;1;0;1
43;1;1;3;1;31;11;1;1;1;4;1;1;1;6;0;1;1;4;4;1;32,6;74,503;41,903;56,24337275;1;1;1;1;1;0;0;0;1;1
44;0;1;3;1;21;4;3;0;0;8;1;0;1;4;4;1;1;4;4;1;32,6;74,503;41,903;56,24337275;1;1;1;1;0;0;0;1;1;0
45;1;1;3;0;30;3;1;0;1;2;0;0;1;5;3;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;0;0;-1
46;0;1;3;0;20;8;1;0;0;2;0;0;1;2;2;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;1;1;0
47;0;1;3;0;26;10;1;1;1;3;0;0;0;2;5;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;1;0;0;0;1;0;1
48;0;1;3;1;22;12;1;1;0;4;0;0;1;4;1;0;0;4;4;1;32,6;74,503;41,903;56,24337275;0;0;0;0;1;0;0;1;0;1
49;0;1;3;0;30;5;1;0;1;2;0;0;0;3;5;1;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;1;0;0;1;1;0;1
50;1;1;3;1;44;2;2;0;1;4;0;0;1;3;2;1;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;0;0;0;1;1;-1
51;0;1;3;1;31;9;1;0;1;5;0;0;1;4;4;1;0;4;4;1;32,6;74,503;41,903;56,24337275;1;1;0;0;1;0;0;1;1;0
52;0;1;3;1;25;4;2;0;1;10;1;1;1;5;0;1;1;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;1;0;0;0;1;1;-1
53;0;1;3;1;30;0;1;0;1;6;0;0;0;0;11;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;1;0;0;0;0;0;0
54;0;1;3;1;75;3;1;1;1;3;1;0;1;4;3;1;0;4;4;1;32,6;74,503;41,903;56,24337275;1;1;0;0;0;0;1;0;1;1
55;0;1;3;0;31;9;1;0;1;6;0;0;1;3;2;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;0;0;1;0;0;1;1;1
56;0;1;3;1;38;12;1;0;1;5;1;1;1;3;2;0;1;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;1;0;1
57;1;1;3;1;53;0;1;0;1;4;0;0;1;1;7;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;1;0;1
58;1;1;3;1;58;0;1;0;1;4;1;1;0;3;0;1;0;4;4;1;32,6;74,503;41,903;56,24337275;1;1;0;1;1;0;0;1;1;1
59;0;1;3;0;21;5;1;0;1;2;0;0;0;1;6;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;1;0;1
60;1;1;3;0;30;0;1;0;1;7;0;0;0;1;8;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;1;0;0;0;1;0;-1
61;0;1;3;1;31;8;1;0;1;4;1;1;1;5;0;1;1;4;4;1;32,6;74,503;41,903;56,24337275;1;0;0;1;1;0;0;0;1;1
62;1;1;3;1;61;2;1;0;1;3;1;0;1;4;0;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;1;1;1
63;1;1;4;1;24;9;1;1;1;7;0;0;1;3;0;1;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;1;0;1;0;1
64;1;1;4;1;47;3;2;0;1;7;0;0;0;3;6;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;1;1;0;0;1;1;0
65;1;1;4;1;29;10;1;1;0;2;0;0;0;4;0;0;1;4;2;1;22,3;72,275;49,975;69,14562435;1;0;1;0;1;0;0;0;1;1
66;0;1;4;0;50;0;1;0;1;NA;0;0;0;4;1;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;0;0;0;1;0;0;1;0;1
67;1;1;4;1;41;0;1;0;1;2;0;1;0;4;2;1;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;0;1;0;0;0;1;1;1
68;1;1;4;1;30;7;1;0;1;3;0;1;0;5;1;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;0;1;0;1
69;0;1;4;1;15;6;2;0;1;NA;0;0;0;2;7;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;0;0;0;0;1;0
70;1;1;4;1;22;10;1;0;1;4;1;1;1;6;2;1;0;4;2;1;22,3;72,275;49,975;69,14562435;1;0;1;0;1;0;0;1;1;1
71;1;1;4;1;26;2;2;0;1;6;1;0;1;3;0;1;1;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;0;0;1;1
72;1;1;4;1;51;0;2;0;1;4;1;1;1;3;0;1;1;4;2;1;22,3;72,275;49,975;69,14562435;1;0;1;1;1;0;0;1;1;1
73;0;1;4;0;30;3;2;0;1;2;0;0;1;2;5;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;0;1;0;1
74;1;1;4;0;24;0;1;1;1;3;0;0;0;1;6;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;0;1;0;1
75;1;1;4;1;16;8;1;0;1;3;1;1;1;3;0;1;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;0;0;1;1
76;1;1;4;1;28;0;1;0;1;2;0;0;0;1;10;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;0;1;0;0
77;1;1;4;1;60;2;2;0;1;5;1;1;1;6;0;1;1;4;2;1;22,3;72,275;49,975;69,14562435;1;0;1;1;0;0;0;1;1;1
78;1;1;4;0;40;0;1;0;1;NA;0;0;1;1;4;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;0;1;0;1;0;0;1;0;1
79;1;1;4;0;25;4;1;0;1;9;0;0;0;0;7;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;0;0;0;0;0;0;0;1
80;1;1;4;1;20;5;1;0;1;1;0;0;0;2;0;1;1;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;0;1;0;1
81;1;1;4;1;19;5;1;0;1;2;0;0;1;3;0;1;1;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;0;0;0;1
82;1;1;4;1;23;9;1;1;1;4;1;0;1;4;1;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;1;0;1;1
83;1;1;5;1;43;4;1;0;1;3;1;1;1;4;2;1;0;3;4;1;31,7;70,757;39,057;55,19877892;1;0;1;0;1;0;0;1;0;1
84;1;1;5;1;50;0;1;0;1;6;1;0;1;3;1;1;1;3;4;1;31,7;70,757;39,057;55,19877892;1;1;1;1;0;0;0;1;1;1
85;1;1;5;0;25;3;1;0;1;4;0;0;0;5;1;1;1;3;4;1;31,7;70,757;39,057;55,19877892;0;1;0;1;0;0;0;1;0;1
86;1;1;5;0;41;0;1;0;1;4;1;1;1;5;0;1;1;3;4;1;31,7;70,757;39,057;55,19877892;1;1;1;1;0;0;0;1;0;1
87;1;1;5;1;20;3;1;0;1;4;0;0;0;1;4;0;0;3;4;1;31,7;70,757;39,057;55,19877892;1;0;0;0;1;0;0;0;0;-1
88;1;1;5;1;34;0;1;0;1;4;1;0;1;5;1;1;1;3;4;1;31,7;70,757;39,057;55,19877892;1;1;1;1;0;0;0;1;1;1
89;1;1;5;1;32;2;1;0;1;5;0;0;0;0;7;0;1;3;4;1;31,7;70,757;39,057;55,19877892;1;0;0;0;1;0;0;0;0;1
90;0;1;5;0;18;7;1;0;1;3;0;0;0;2;3;0;0;3;4;1;31,7;70,757;39,057;55,19877892;1;0;0;0;1;0;0;0;0;1
91;0;1;5;1;45;0;1;1;1;3;0;0;0;1;8;0;0;3;4;1;31,7;70,757;39,057;55,19877892;1;0;0;0;1;0;0;1;1;-1
92;1;1;5;1;29;3;1;0;1;3;0;1;0;3;4;0;0;3;4;1;31,7;70,757;39,057;55,19877892;0;1;1;0;1;0;0;1;0;1
93;1;1;5;1;24;4;1;0;1;2;1;1;1;4;1;0;0;3;4;1;31,7;70,757;39,057;55,19877892;1;1;1;1;0;0;0;1;0;1
94;1;1;5;1;40;0;1;0;1;4;1;1;0;4;0;0;0;3;4;1;31,7;70,757;39,057;55,19877892;1;1;1;0;1;0;0;1;0;1
95;1;1;5;0;50;8;1;1;1;4;0;0;1;4;2;0;0;3;4;1;31,7;70,757;39,057;55,19877892;0;1;1;0;1;0;0;1;1;1
96;1;1;5;1;27;5;1;0;1;3;0;0;1;3;2;1;0;3;4;1;31,7;70,757;39,057;55,19877892;1;0;1;0;1;0;0;0;0;1
97;1;1;5;1;22;7;1;0;1;4;0;0;0;1;4;0;0;3;4;1;31,7;70,757;39,057;55,19877892;1;0;1;0;1;0;0;1;0;1
98;1;1;5;0;23;5;2;0;1;2;0;0;0;3;3;0;0;3;4;1;31,7;70,757;39,057;55,19877892;1;0;1;0;0;0;0;1;0;1
99;1;1;5;1;46;0;1;0;1;3;1;1;1;4;1;1;0;3;4;1;31,7;70,757;39,057;55,19877892;1;1;1;1;0;0;0;1;1;1
100;0;1;5;0;24;3;2;0;1;6;0;0;0;0;7;0;0;3;4;1;31,7;70,757;39,057;55,19877892;1;0;1;0;1;0;0;0;0;-1
101;1;1;5;1;23;10;1;0;1;3;0;0;1;5;1;1;0;3;4;1;31,7;70,757;39,057;55,19877892;1;1;1;0;1;0;0;1;1;1
102;1;1;5;1;22;8;1;0;1;4;0;0;1;6;1;1;0;3;4;1;31,7;70,757;39,057;55,19877892;1;1;1;0;1;0;1;1;0;1
103;0;1;6;1;20;1;2;0;1;4;0;0;1;2;3;0;1;3;1;0;26;78,944;52,944;67,06526145;0;1;1;1;1;0;0;1;1;1
104;0;1;6;1;21;4;1;0;1;4;0;0;1;1;7;1;0;3;1;0;26;78,944;52,944;67,06526145;1;0;1;0;1;0;1;0;0;1
105;0;1;6;1;30;0;1;0;1;NA;1;0;0;4;4;0;0;3;1;0;26;78,944;52,944;67,06526145;1;0;0;0;1;0;1;0;0;1
106;0;1;6;0;36;0;1;0;1;3;0;0;1;3;6;0;0;3;1;0;26;78,944;52,944;67,06526145;1;0;1;0;1;0;0;0;0;1
107;1;1;6;0;28;0;2;0;1;2;0;0;0;4;3;1;0;3;1;0;26;78,944;52,944;67,06526145;1;1;0;0;1;0;0;1;1;0
108;1;1;6;1;40;0;2;0;1;NA;0;0;0;6;3;1;0;3;1;0;26;78,944;52,944;67,06526145;0;1;1;1;0;0;0;1;0;1
109;0;1;6;1;31;3;1;0;1;6;0;0;1;2;9;0;0;3;1;0;26;78,944;52,944;67,06526145;0;1;1;0;0;0;0;1;1;-1
110;1;1;6;1;30;0;2;0;1;4;0;0;0;2;3;0;0;3;1;0;26;78,944;52,944;67,06526145;1;1;1;0;0;1;0;1;0;1
111;0;1;6;1;16;2;2;0;1;NA;0;0;0;4;3;1;0;3;1;0;26;78,944;52,944;67,06526145;1;0;1;0;0;0;0;0;0;1
112;0;1;6;0;55;0;2;0;1;NA;0;0;0;0;13;0;0;3;1;0;26;78,944;52,944;67,06526145;1;1;1;0;0;0;0;0;0;0
113;1;1;6;1;30;0;1;0;1;7;0;0;1;2;3;0;0;3;1;0;26;78,944;52,944;67,06526145;1;0;1;0;1;0;1;0;0;1
114;1;1;6;1;22;8;1;1;1;2;0;0;1;1;5;1;0;3;1;0;26;78,944;52,944;67,06526145;1;0;0;0;1;0;1;1;1;0
115;1;1;7;0;35;3;1;0;1;5;0;0;0;1;5;0;0;1;5;1;3,133;38,299;35,166;91,81962976;1;1;0;0;1;0;1;1;1;1
116;1;1;7;0;35;5;1;0;1;5;1;0;1;5;0;1;0;1;5;1;3,133;38,299;35,166;91,81962976;1;1;1;0;1;0;0;1;0;1
117;1;1;7;0;30;5;2;0;1;4;0;0;1;2;4;0;0;1;5;1;3,133;38,299;35,166;91,81962976;1;1;0;0;1;0;0;0;1;0
118;0;1;7;0;18;5;1;0;1;4;0;0;0;1;2;0;0;1;5;1;3,133;38,299;35,166;91,81962976;0;1;1;0;1;0;0;0;0;-1
119;0;1;7;1;19;6;1;0;1;2;0;0;1;1;3;0;0;1;5;1;3,133;38,299;35,166;91,81962976;1;1;0;1;1;0;0;1;0;-1
120;0;1;7;0;26;5;1;0;1;2;0;0;0;3;1;1;0;1;5;1;3,133;38,299;35,166;91,81962976;1;1;1;0;1;0;1;0;0;1
121;0;1;7;1;25;8;1;1;1;4;0;0;1;3;2;0;1;1;5;1;3,133;38,299;35,166;91,81962976;1;1;1;0;1;0;1;0;1;0
122;0;1;7;1;23;6;1;0;1;3;0;0;0;2;10;0;0;1;5;1;3,133;38,299;35,166;91,81962976;1;0;0;0;0;1;0;1;1;0
123;1;1;7;1;61;2;1;0;1;5;0;0;1;5;0;1;1;1;5;1;3,133;38,299;35,166;91,81962976;1;0;0;0;1;0;0;1;1;1
124;1;1;7;0;58;8;3;1;1;5;0;0;1;4;0;1;1;1;5;1;3,133;38,299;35,166;91,81962976;1;1;1;0;1;0;0;1;1;1
125;1;1;7;1;55;3;1;0;1;NA;1;1;1;5;2;0;0;1;5;1;3,133;38,299;35,166;91,81962976;1;0;1;1;0;0;0;1;1;1
126;0;1;7;1;23;6;1;0;1;2;0;0;1;4;6;0;1;1;5;1;3,133;38,299;35,166;91,81962976;1;0;1;0;1;0;0;1;0;1
127;1;1;7;1;27;6;1;0;1;3;0;0;1;2;3;0;0;1;5;1;3,133;38,299;35,166;91,81962976;1;1;0;0;1;0;0;0;1;0
128;0;1;7;0;27;7;2;1;1;3;0;0;0;2;3;0;0;1;5;1;3,133;38,299;35,166;91,81962976;1;0;0;1;0;0;0;0;0;-1
129;0;1;7;0;42;0;1;0;1;3;0;0;0;3;6;0;1;1;5;1;3,133;38,299;35,166;91,81962976;1;0;1;0;1;0;0;0;0;1
130;1;1;7;1;68;0;1;0;1;3;1;0;1;4;2;0;0;1;5;1;3,133;38,299;35,166;91,81962976;1;1;1;0;1;0;1;1;0;1
131;0;1;7;0;26;2;1;0;1;2;0;0;0;3;3;0;0;1;5;1;3,133;38,299;35,166;91,81962976;1;1;1;1;0;0;0;0;1;0
132;1;1;7;1;26;3;1;0;1;2;1;1;1;6;1;1;0;1;5;1;3,133;38,299;35,166;91,81962976;1;1;1;1;1;0;0;1;1;-1
133;0;1;7;0;42;0;1;0;0;12;0;0;0;0;14;0;0;1;5;1;3,133;38,299;35,166;91,81962976;0;0;0;1;0;0;0;0;0;0
134;1;1;7;0;42;4;1;1;1;5;0;0;1;0;3;0;0;1;5;1;3,133;38,299;35,166;91,81962976;0;1;0;0;1;0;0;1;1;1
135;0;1;8;1;26;5;1;0;1;2;0;0;1;2;5;0;1;1;5;1;2,572;38,419;35,847;93,30539577;1;1;0;1;1;0;0;0;1;1
136;1;1;8;1;53;4;1;0;1;6;0;0;1;5;2;1;0;1;5;1;2,572;38,419;35,847;93,30539577;1;0;1;1;0;0;0;1;1;1
137;1;1;8;1;29;0;2;1;1;7;0;1;1;5;1;1;1;1;5;1;2,572;38,419;35,847;93,30539577;1;1;0;1;1;0;0;0;1;1
138;0;1;8;1;21;9;1;0;1;3;0;0;0;3;4;0;0;1;5;1;2,572;38,419;35,847;93,30539577;1;1;1;1;1;0;0;0;1;1
139;1;1;8;1;45;5;3;0;1;2;1;0;1;6;2;1;0;1;5;1;2,572;38,419;35,847;93,30539577;1;1;0;1;1;0;0;1;1;1
140;0;1;8;0;18;5;2;0;1;4;0;0;0;3;3;0;0;1;5;1;2,572;38,419;35,847;93,30539577;0;1;1;0;0;0;0;0;0;1
141;0;1;8;0;31;4;1;1;0;3;0;0;0;0;11;0;0;1;5;1;2,572;38,419;35,847;93,30539577;0;0;0;0;0;0;1;0;0;1
142;1;1;8;1;52;9;1;0;1;3;1;0;1;5;0;1;1;1;5;1;2,572;38,419;35,847;93,30539577;1;1;0;0;1;0;0;0;1;-1
143;0;1;8;0;27;6;2;1;1;2;0;0;0;5;3;1;1;1;5;1;2,572;38,419;35,847;93,30539577;1;1;1;0;1;0;0;1;0;0
144;1;1;8;1;22;7;1;0;1;NA;0;0;1;4;2;1;1;1;5;1;2,572;38,419;35,847;93,30539577;1;1;1;0;1;0;0;0;1;0
145;0;1;8;0;28;4;1;0;1;2;0;0;0;3;3;0;0;1;5;1;2,572;38,419;35,847;93,30539577;1;0;1;0;1;0;1;1;0;0
146;1;1;8;1;18;5;1;0;1;2;0;0;0;3;3;1;0;1;5;1;2,572;38,419;35,847;93,30539577;1;1;1;0;1;0;0;0;1;1
147;1;1;8;1;20;0;1;0;1;3;0;0;1;6;0;1;1;1;5;1;2,572;38,419;35,847;93,30539577;1;1;1;0;1;0;0;1;1;1
148;1;1;8;0;27;5;1;0;1;3;0;0;1;5;2;0;0;1;5;1;2,572;38,419;35,847;93,30539577;1;1;1;1;0;0;1;0;1;0
149;1;1;8;1;20;5;1;0;1;3;0;1;0;3;0;1;0;1;5;1;2,572;38,419;35,847;93,30539577;1;1;1;0;1;0;0;0;1;1
150;1;1;8;1;23;6;1;0;1;3;1;1;1;5;1;1;0;1;5;1;2,572;38,419;35,847;93,30539577;1;1;1;0;1;0;1;0;1;1
151;0;1;8;0;57;6;1;0;0;3;0;0;1;0;9;0;0;1;5;1;2,572;38,419;35,847;93,30539577;0;0;1;1;0;0;1;0;1;0
152;0;1;8;0;18;4;1;1;1;3;0;0;1;2;7;0;0;1;5;1;2,572;38,419;35,847;93,30539577;1;1;1;0;1;0;0;1;1;0
153;0;1;8;0;28;5;1;0;1;2;0;0;0;1;1;0;1;1;5;1;2,572;38,419;35,847;93,30539577;1;0;1;1;0;0;1;1;0;0
154;1;1;8;0;32;0;1;0;1;2;1;0;1;4;0;1;1;1;5;1;2,572;38,419;35,847;93,30539577;0;1;1;1;1;0;1;1;1;1
155;0;2;9;1;38;8;1;0;1;3;1;0;1;3;6;0;0;2;3;0;4,562;21,481;16,919;78,76262744;0;1;1;0;1;0;0;1;1;1
156;0;2;9;0;40;0;2;1;1;1;1;0;1;4;2;1;0;2;3;0;4,562;21,481;16,919;78,76262744;1;1;1;1;0;0;1;0;0;0
157;1;2;9;1;60;0;1;0;1;3;0;0;0;0;11;0;0;2;3;0;4,562;21,481;16,919;78,76262744;1;0;1;1;0;0;0;1;1;1
158;0;2;9;1;32;5;3;1;1;3;0;0;0;4;2;0;0;2;3;0;4,562;21,481;16,919;78,76262744;0;1;1;1;1;0;0;0;1;1
159;0;2;9;1;29;10;1;0;1;2;0;0;0;2;5;0;0;2;3;0;4,562;21,481;16,919;78,76262744;0;1;0;0;1;0;1;0;0;1
160;0;2;9;0;23;9;1;1;1;2;1;0;1;2;2;0;0;2;3;0;4,562;21,481;16,919;78,76262744;0;1;1;0;1;0;0;1;0;1
161;0;2;9;1;18;5;1;0;1;2;0;0;0;2;3;1;1;2;3;0;4,562;21,481;16,919;78,76262744;0;1;0;0;1;0;0;0;0;1
162;0;2;9;1;46;5;2;1;1;4;0;0;1;1;5;0;1;2;3;0;4,562;21,481;16,919;78,76262744;0;1;0;0;1;0;1;1;0;1
163;0;2;9;0;25;5;1;1;1;2;0;0;1;0;9;0;0;2;3;0;4,562;21,481;16,919;78,76262744;1;1;0;0;1;0;0;1;1;1
164;0;2;9;0;15;6;1;0;1;2;0;0;1;1;11;0;0;2;3;0;4,562;21,481;16,919;78,76262744;1;1;1;0;0;0;0;0;0;1
165;0;2;9;0;23;8;2;1;1;NA;0;0;1;2;0;0;0;2;3;0;4,562;21,481;16,919;78,76262744;1;1;1;1;0;0;1;1;0;1
166;1;2;9;1;60;3;1;0;1;2;0;0;0;1;7;0;0;2;3;0;4,562;21,481;16,919;78,76262744;1;1;0;1;0;0;0;1;0;1
167;1;2;9;1;65;0;2;0;1;1;1;0;1;2;5;0;0;2;3;0;4,562;21,481;16,919;78,76262744;0;1;1;1;0;0;0;1;1;1
168;1;2;9;1;40;1;1;1;1;4;1;0;1;5;2;1;0;2;3;0;4,562;21,481;16,919;78,76262744;0;1;1;0;0;1;0;0;0;1
169;0;2;9;0;18;6;2;1;0;3;0;0;0;1;5;0;1;2;3;0;4,562;21,481;16,919;78,76262744;0;1;0;0;1;0;0;0;0;0
170;0;2;9;1;19;7;1;0;1;NA;0;0;1;2;4;0;0;2;3;0;4,562;21,481;16,919;78,76262744;1;1;0;0;0;0;1;0;1;1
171;0;2;9;0;18;3;2;1;1;3;0;0;0;1;12;1;0;2;3;0;4,562;21,481;16,919;78,76262744;1;0;1;0;1;0;0;1;0;0
